,vessel_type,vessel_group,#subtracks,mean_length,median_length,start_time,end_time
367052130,31.0,Towing,22,55.63636363636363,1.0,2022-01-01 00:00:03,2022-01-01 23:59:54
367053160,60.0,Passenger,1,1204.0,1204.0,2022-01-01 00:00:02,2022-01-01 23:58:58
367053260,31.0,Towing,1,1205.0,1205.0,2022-01-01 00:00:53,2022-01-01 23:59:27
367053620,60.0,Passenger,124,9.838709677419354,1.0,2022-01-01 00:01:04,2022-01-01 23:59:44
367053940,31.0,Towing,1,1218.0,1218.0,2022-01-01 00:00:54,2022-01-01 23:59:18
367054050,37.0,Other,1,1148.0,1148.0,2022-01-01 00:01:06,2022-01-01 23:59:16
367054840,31.0,Towing,17,71.52941176470588,1.0,2022-01-01 00:00:01,2022-01-01 23:59:52
367054850,31.0,Towing,1,1197.0,1197.0,2022-01-01 00:01:04,2022-01-01 23:59:24
367056982,31.0,Towing,1,1203.0,1203.0,2022-01-01 00:00:17,2022-01-01 23:59:10
367057240,31.0,Towing,1,1225.0,1225.0,2022-01-01 00:01:03,2022-01-01 23:59:27
367057310,31.0,Towing,1,1186.0,1186.0,2022-01-01 00:00:59,2022-01-01 23:59:49
367057330,31.0,Towing,1,1218.0,1218.0,2022-01-01 00:00:55,2022-01-01 23:59:43
367057340,31.0,Towing,1,1207.0,1207.0,2022-01-01 00:00:58,2022-01-01 23:59:38
367057380,31.0,Towing,1,1207.0,1207.0,2022-01-01 00:00:54,2022-01-01 23:59:24
367057390,31.0,Towing,1,1183.0,1183.0,2022-01-01 00:00:59,2022-01-01 23:59:28
367057410,31.0,Towing,1,1190.0,1190.0,2022-01-01 00:00:57,2022-01-01 23:59:27
367057420,31.0,Towing,1,1213.0,1213.0,2022-01-01 00:01:06,2022-01-01 23:59:36
367057460,31.0,Towing,1,1209.0,1209.0,2022-01-01 00:01:16,2022-01-01 23:59:08
367057470,31.0,Towing,1,1200.0,1200.0,2022-01-01 00:00:59,2022-01-01 23:59:18
367057530,31.0,Towing,1,1231.0,1231.0,2022-01-01 00:00:01,2022-01-01 23:59:25
367057570,79.0,Cargo,920,1.357608695652174,1.0,2022-01-01 00:00:06,2022-01-01 23:58:58
367057750,31.0,Towing,1,1063.0,1063.0,2022-01-01 00:00:58,2022-01-01 23:54:19
367059850,70.0,Cargo,5,241.6,15.0,2022-01-01 00:00:03,2022-01-01 23:59:14
367060130,0.0,Unknown,1,1206.0,1206.0,2022-01-01 00:00:02,2022-01-01 23:59:18
367061980,31.0,Towing,14,90.0,1.0,2022-01-01 00:00:00,2022-01-01 23:59:58
367062370,31.0,Towing,1,1229.0,1229.0,2022-01-01 00:01:04,2022-01-01 23:59:24
367064160,90.0,Other,1,1232.0,1232.0,2022-01-01 00:00:05,2022-01-01 23:59:25
367065250,60.0,Passenger,2,541.5,541.5,2022-01-01 00:00:14,2022-01-01 23:59:15
367066970,70.0,Cargo,1,1202.0,1202.0,2022-01-01 00:00:02,2022-01-01 23:59:56
367067110,80.0,Other,1,1246.0,1246.0,2022-01-01 00:00:00,2022-01-01 23:59:40
367068230,30.0,Fishing,1,1156.0,1156.0,2022-01-01 00:00:00,2022-01-01 23:59:03
367069240,31.0,Towing,1,1205.0,1205.0,2022-01-01 00:01:09,2022-01-01 23:59:49
367071960,31.0,Towing,27,46.333333333333336,1.0,2022-01-01 00:00:01,2022-01-01 23:59:41
